Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.NestedInterfaceDeclaration,2,Class,mixin,NestedInterfaceDeclaration,,SYNTAX,TRUE,TRUE,,FALSE,FALSE,mixin.NestedInterfaceDeclaration calls fprivate mixin.ClassBodyDeclaration THEN it also belongs to SYNTAX   
mixin.NInterDecl.ARG_LENGTH,3,Field,mixin,NInterDecl,ARG_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.NInterDecl.ARG_LENGTH is a child of mixin.NInterDecl THEN it also is fprivate of SYNTAX   
mixin.NInterDecl.TOK_LENGTH,3,Field,mixin,NInterDecl,TOK_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.NInterDecl.TOK_LENGTH is a child of mixin.NInterDecl THEN it also is fprivate of SYNTAX   
mixin.NInterDecl.getAST_Modifiers(),4,Method,mixin,NInterDecl,getAST_Modifiers(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.NInterDecl.getAST_Modifiers() is a child of mixin.NInterDecl THEN it also is fprivate of SYNTAX   
mixin.NInterDecl.getUnmodifiedInterfaceDeclaration(),4,Method,mixin,NInterDecl,getUnmodifiedInterfaceDeclaration(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.NInterDecl.getUnmodifiedInterfaceDeclaration() calls fprivate mixin.UnmodifiedInterfaceDeclaration THEN it also belongs to SYNTAX   
mixin.NInterDecl.printorder(),4,Method,mixin,NInterDecl,printorder(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.NInterDecl.printorder() is a child of mixin.NInterDecl THEN it also is fprivate of SYNTAX   
mixin.NInterDecl.setParms(AstOptNode arg0; UnmodifiedInterfaceDeclaration arg1),4,Method,mixin,NInterDecl,setParms(AstOptNode arg0; UnmodifiedInterfaceDeclaration arg1),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.NInterDecl.setParms(AstOptNode arg0; UnmodifiedInterfaceDeclaration arg1) calls fprivate mixin.UnmodifiedInterfaceDeclaration THEN it also belongs to SYNTAX   
mixin.SwitchStatement,2,Class,mixin,SwitchStatement,,SYNTAX,TRUE,TRUE,,FALSE,FALSE,mixin.SwitchStatement calls fprivate mixin.Statement THEN it also belongs to SYNTAX   
mixin.SEBodyC,2,Class,mixin,SEBodyC,,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SEBodyC calls fprivate mixin.SEBody THEN it also belongs to SYNTAX   
mixin.SEBodyC.ARG_LENGTH,3,Field,mixin,SEBodyC,ARG_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SEBodyC.ARG_LENGTH is a child of mixin.SEBodyC THEN it also is fprivate of SYNTAX   
mixin.SEBodyC.TOK_LENGTH,3,Field,mixin,SEBodyC,TOK_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SEBodyC.TOK_LENGTH is a child of mixin.SEBodyC THEN it also is fprivate of SYNTAX   
mixin.SEBodyC.getAdditiveExpression(),4,Method,mixin,SEBodyC,getAdditiveExpression(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SEBodyC.getAdditiveExpression() calls fprivate mixin.AdditiveExpression THEN it also belongs to SYNTAX   
mixin.SEBodyC.getShiftExprChoices(),4,Method,mixin,SEBodyC,getShiftExprChoices(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SEBodyC.getShiftExprChoices() calls fprivate mixin.ShiftExprChoices THEN it also belongs to SYNTAX   
mixin.SEBodyC.printorder(),4,Method,mixin,SEBodyC,printorder(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SEBodyC.printorder() is a child of mixin.SEBodyC THEN it also is fprivate of SYNTAX   
mixin.SEBodyC.setParms(ShiftExprChoices arg0; AdditiveExpression arg1),4,Method,mixin,SEBodyC,setParms(ShiftExprChoices arg0; AdditiveExpression arg1),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SEBodyC.setParms(ShiftExprChoices arg0; AdditiveExpression arg1) calls fprivate mixin.ShiftExprChoices THEN it also belongs to SYNTAX   
