from,to
bali2jak.JavaCharStream.getTrackLineColumn(),bali2jak.JavaCharStream
bali2jak.JavaCharStream.getTrackLineColumn(),bali2jak.JavaCharStream.trackLineColumn
bali2jak.JavaCharStream.setTrackLineColumn(boolean tlc),bali2jak.JavaCharStream
bali2jak.JavaCharStream.setTrackLineColumn(boolean tlc),bali2jak.JavaCharStream.trackLineColumn
bali2jak.ArgList,bali2jak
bali2jak.ArgList.NO_LAYER,bali2jak.ArgList
bali2jak.ArgList.NO_CLASS,bali2jak.ArgList
bali2jak.ArgList.layerFilter,bali2jak.ArgList
bali2jak.ArgList.classFilter,bali2jak.ArgList
bali2jak.ArgList.csrIndex,bali2jak.ArgList
