Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.PackageDeclaration,2,Class,mixin,PackageDeclaration,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_QualifiedName,2,Class,mixin,AST_QualifiedName,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.UTEError,2,Class,mixin,UTEError,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.UnmodifiedTypeExtension,2,Class,mixin,UnmodifiedTypeExtension,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_Catches,2,Class,mixin,AST_Catches,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.Alias,2,Class,mixin,Alias,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.InstanceOfExpression,2,Class,mixin,InstanceOfExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.EqualityExpression,2,Class,mixin,EqualityExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.Init,2,Class,mixin,Init,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.Initializer,2,Class,mixin,Initializer,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.NestedClassDeclaration,2,Class,mixin,NestedClassDeclaration,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.ClassBodyDeclaration,2,Class,mixin,ClassBodyDeclaration,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.OtherwiseClauses,2,Class,mixin,OtherwiseClauses,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ClsBody,2,Class,mixin,ClsBody,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ClassBody,2,Class,mixin,ClassBody,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_FieldDecl,2,Class,mixin,AST_FieldDecl,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.OtherwiseClause,2,Class,mixin,OtherwiseClause,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.MoreAndExpr,2,Class,mixin,MoreAndExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.PlstIscape,2,Class,mixin,PlstIscape,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.FormalParameter,2,Class,mixin,FormalParameter,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.Env,2,Class,mixin,Env,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.FieldDeclaration,2,Class,mixin,FieldDeclaration,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.DeclNameList,2,Class,mixin,DeclNameList,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.BlockStatement,2,Class,mixin,BlockStatement,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.False,2,Class,mixin,FALSE,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.PEStmtExpr,2,Class,mixin,PEStmtExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.PrimaryExpression,2,Class,mixin,PrimaryExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.PostfixExpression,2,Class,mixin,PostfixExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
