Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
mixin.NIDecl.getNestedInterfaceDeclaration(),4,Method,mixin,NIDecl,getNestedInterfaceDeclaration(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.NestedInterfaceDeclaration,2,Class,mixin,NestedInterfaceDeclaration,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.NIDecl.printorder(),4,Method,mixin,NIDecl,printorder(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.NIDecl.setParms(NestedInterfaceDeclaration arg0),4,Method,mixin,NIDecl,setParms(NestedInterfaceDeclaration arg0),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.EEBodyC,2,Class,mixin,EEBodyC,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.EEBody,2,Class,mixin,EEBody,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.EEBodyC.ARG_LENGTH,3,Field,mixin,EEBodyC,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.EEBodyC.TOK_LENGTH,3,Field,mixin,EEBodyC,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.EEBodyC.getEqExprChoices(),4,Method,mixin,EEBodyC,getEqExprChoices(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.EqExprChoices,2,Class,mixin,EqExprChoices,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.EEBodyC.getInstanceOfExpression(),4,Method,mixin,EEBodyC,getInstanceOfExpression(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.InstanceOfExpression,2,Class,mixin,InstanceOfExpression,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.EEBodyC.printorder(),4,Method,mixin,EEBodyC,printorder(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.EEBodyC.setParms(EqExprChoices arg0; InstanceOfExpression arg1),4,Method,mixin,EEBodyC,setParms(EqExprChoices arg0; InstanceOfExpression arg1),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.MoreEqExpr,2,Class,mixin,MoreEqExpr,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstList,2,Class,mixin,AstList,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.LocalVariableDeclaration,2,Class,mixin,LocalVariableDeclaration,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.ForInit,2,Class,mixin,ForInit,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.DoStatement,2,Class,mixin,DoStatement,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.Main,2,Class,mixin,Main,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.instance,3,Field,mixin,Main,instance,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Main.layerID_Counter,3,Field,mixin,Main,layerID_Counter,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.Main.switches,3,Field,mixin,Main,switches,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Main.posArgs,3,Field,mixin,Main,posArgs,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Main.packageName,3,Field,mixin,Main,packageName,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.extraArgs,3,Field,mixin,Main,extraArgs,,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.Main.file2uri(String fileName),4,Method,mixin,Main,file2uri(String fileName),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.baseURI,3,Field,mixin,Main,baseURI,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.Main.setBaseURI(String fileName),4,Method,mixin,Main,setBaseURI(String fileName),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.uri2file(String uriName),4,Method,mixin,Main,uri2file(String uriName),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.modelDirectory,3,Field,mixin,Main,modelDirectory,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.Main.getModelDirectory(),4,Method,mixin,Main,getModelDirectory(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.setModelDirectory(String baseName),4,Method,mixin,Main,setModelDirectory(String baseName),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.deriveLayerName(),4,Method,mixin,Main,deriveLayerName(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.kernelConstants,2,Class,mixin,kernelConstants,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.kernelConstants.currentAbsPath,3,Field,mixin,kernelConstants,currentAbsPath,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.kernelConstants.globals(),4,Method,mixin,kernelConstants,globals(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstNode.error(String msg),4,Method,mixin,AstNode,error(String msg),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.getPackageName(),4,Method,mixin,Main,getPackageName(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.packName,3,Field,mixin,Main,packName,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Main.parseArgs(String[] args),4,Method,mixin,Main,parseArgs(String[] args),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.ArgList,2,Class,mixin,ArgList,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Switch,2,Class,mixin,Switch,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.PositionalArg,2,Class,mixin,PositionalArg,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.CommandLineArg,2,Class,mixin,CommandLineArg,,,FALSE,FALSE,,FALSE,FALSE,,,public
mixin.CommandLineArg.name,3,Field,mixin,CommandLineArg,name,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Switch.args,3,Field,mixin,Switch,args,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.PositionalArg.binding,3,Field,mixin,PositionalArg,binding,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Switch.clone(),4,Method,mixin,Switch,clone(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.usage(),4,Method,mixin,Main,usage(),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.ArgList.find(String name; Class cls; int _layer),4,Method,mixin,ArgList,find(String name; Class cls; int _layer),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.CommandLineArg.optional,3,Field,mixin,CommandLineArg,optional,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Switch.description,3,Field,mixin,Switch,description,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Main.initialize(),4,Method,mixin,Main,initialize(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.nextLayer(),4,Method,mixin,Main,nextLayer(),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.Main.switchRegister(Switch sw),4,Method,mixin,Main,switchRegister(Switch sw),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.Main.posArgRegister(PositionalArg parg),4,Method,mixin,Main,posArgRegister(PositionalArg parg),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.Main.reduceAST(ArgList argObjects; AstNode ast),4,Method,mixin,Main,reduceAST(ArgList argObjects; AstNode ast),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.Main.cleanUp(),4,Method,mixin,Main,cleanUp(),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.Main.SOURCE_FILE,3,Field,mixin,Main,SOURCE_FILE,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.Main.instanceArgs,3,Field,mixin,Main,instanceArgs,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.Main.sourceFile,3,Field,mixin,Main,sourceFile,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.Main.myLayerID,3,Field,mixin,Main,myLayerID,,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.Main.verbose,3,Field,mixin,Main,verbose,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.filesProcessed,3,Field,mixin,Main,filesProcessed,,FALSE,FALSE,,TRUE,FALSE,,,private
