Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier,Method_Signature,Earliest_bound,Latest_bound,CodeAnnotation,LOC,FWBelongLevel,NeedsLocalConstructor
streams.ImageStreamParallel.ImageStreamParallel(Filter[] filters; Iterator<List<URL>> urlListIterator),5,Constructor,streams,ImageStreamParallel,ImageStreamParallel(Filter[] filters; Iterator<List<URL>> urlListIterator),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamParallel.ImageStreamParallel(Filter[] filters; Iterator<List<URL>> urlListIterator); BttF says it's a child of streams.ImageStreamParallel THEN it also is fprivate of PLUGIN   ,,public ,ImageStreamParallel(Filter[]; Iterator<List<URL>>),PLUGIN,PLUGIN,null,7,2,false
streams.ImageStreamParallel.processStream(),4,Method,streams,ImageStreamParallel,processStream(),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamParallel.processStream(); BttF says it's a child of streams.ImageStreamParallel THEN it also is fprivate of PLUGIN   ,,protected ,processStream(),PLUGIN,PLUGIN,@Override,46,2,false
streams.ImageStreamParallel.applyFilters(Image image),4,Method,streams,ImageStreamParallel,applyFilters(Image image),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamParallel.applyFilters(Image image); BttF says it's a child of streams.ImageStreamParallel THEN it also is fprivate of PLUGIN   ,,private ,applyFilters(Image),PLUGIN,PLUGIN,null,23,2,false
streams.ImageStreamSequential.ImageStreamSequential(Filter[] filters; Iterator<List<URL>> urlListIterator),5,Constructor,streams,ImageStreamSequential,ImageStreamSequential(Filter[] filters; Iterator<List<URL>> urlListIterator),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamSequential.ImageStreamSequential(Filter[] filters; Iterator<List<URL>> urlListIterator); BttF says it's a child of streams.ImageStreamSequential THEN it also is fprivate of PLUGIN   ,,public ,ImageStreamSequential(Filter[]; Iterator<List<URL>>),PLUGIN,PLUGIN,null,7,2,false
streams.ImageStreamSequential.processStream(),4,Method,streams,ImageStreamSequential,processStream(),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamSequential.processStream(); BttF says it's a child of streams.ImageStreamSequential THEN it also is fprivate of PLUGIN   ,,protected ,processStream(),PLUGIN,PLUGIN,@Override,40,2,false
streams.ImageStreamSequential.urlCached(URL url),4,Method,streams,ImageStreamSequential,urlCached(URL url),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamSequential.urlCached(URL url); BttF says it's a child of streams.ImageStreamSequential THEN it also is fprivate of PLUGIN   ,,protected ,urlCached(URL),PLUGIN,PLUGIN,@Override,24,2,false
streams.ImageStreamSequential.applyFilters(Image image),4,Method,streams,ImageStreamSequential,applyFilters(Image image),PLUGIN,TRUE,TRUE,,TRUE,FALSE,streams.ImageStreamSequential.applyFilters(Image image); BttF says it's a child of streams.ImageStreamSequential THEN it also is fprivate of PLUGIN   ,,private ,applyFilters(Image),PLUGIN,PLUGIN,null,24,2,false
streams.StreamGang,2,Class,streams,StreamGang,,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public abstract ,,FRAMEWORK,PLUGIN,null,25,1,false
streams.StreamGang.TAG,3,Field,streams,StreamGang,TAG,FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected ,,FRAMEWORK,PLUGIN,null,4,1,false
streams.StreamGang.run(),4,Method,streams,StreamGang,run(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,public ,run(),FRAMEWORK,PLUGIN,@Override,17,1,false
streams.StreamGang<URL>,2,Class,streams,StreamGang<URL>,,FRAMEWORK,FALSE,FALSE,,FALSE,FALSE,,,public abstract ,,FRAMEWORK,PLUGIN,null,0,1,false
streams.StreamGang.getNextInput(),4,Method,streams,StreamGang,getNextInput(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected abstract ,getNextInput(),FRAMEWORK,PLUGIN,null,5,1,false
streams.StreamGang.initiateStream(),4,Method,streams,StreamGang,initiateStream(),FRAMEWORK,FALSE,FALSE,,TRUE,FALSE,,,protected abstract ,initiateStream(),FRAMEWORK,PLUGIN,null,4,1,false
