Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.SwEscape.getCASE_ESCAPE(),4,Method,mixin,SwEscape,getCASE_ESCAPE(),,FALSE,FALSE,,TRUE,FALSE,
mixin.SwEscape.printorder(),4,Method,mixin,SwEscape,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.SwEscape.setParms(AstToken tok0; AstToken tok1; AST_Exp arg0; AstToken tok2),4,Method,mixin,SwEscape,setParms(AstToken tok0; AstToken tok1; AST_Exp arg0; AstToken tok2),,FALSE,FALSE,,TRUE,FALSE,
mixin.SwEscape.checkForErrors(int stage; String file),4,Method,mixin,SwEscape,checkForErrors(int stage; String file),,FALSE,FALSE,,TRUE,FALSE,
mixin.SwEscape.mangleLocalIds(int stage),4,Method,mixin,SwEscape,mangleLocalIds(int stage),,FALSE,FALSE,,TRUE,FALSE,
mixin.AssnPlus,2,Class,mixin,AssnPlus,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.AssnPlus.ARG_LENGTH,3,Field,mixin,AssnPlus,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.AssnPlus.TOK_LENGTH,3,Field,mixin,AssnPlus,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.AssnPlus.printorder(),4,Method,mixin,AssnPlus,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AssnPlus.setParms(AstToken tok0),4,Method,mixin,AssnPlus,setParms(AstToken tok0),,FALSE,FALSE,,TRUE,FALSE,
mixin.ExprStmt,2,Class,mixin,ExprStmt,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.ExprStmt.ARG_LENGTH,3,Field,mixin,ExprStmt,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.ExprStmt.TOK_LENGTH,3,Field,mixin,ExprStmt,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.ExprStmt.getAST_Exp(),4,Method,mixin,ExprStmt,getAST_Exp(),,FALSE,FALSE,,TRUE,FALSE,
mixin.ExprStmt.printorder(),4,Method,mixin,ExprStmt,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.ExprStmt.setParms(AST_Exp arg0; AstToken tok0),4,Method,mixin,ExprStmt,setParms(AST_Exp arg0; AstToken tok0),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_ArgListElem,2,Class,mixin,AST_ArgListElem,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.AST_ArgListElem.getExpression(),4,Method,mixin,AST_ArgListElem,getExpression(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_ArgListElem.setParms(AstToken tok0; Expression arg0),4,Method,mixin,AST_ArgListElem,setParms(AstToken tok0; Expression arg0),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_ArgListElem.setParms(Expression arg0),4,Method,mixin,AST_ArgListElem,setParms(Expression arg0),,FALSE,FALSE,,TRUE,FALSE,
mixin.FIExprList,2,Class,mixin,FIExprList,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.FIExprList.ARG_LENGTH,3,Field,mixin,FIExprList,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.FIExprList.TOK_LENGTH,3,Field,mixin,FIExprList,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.FIExprList.getStatementExpressionList(),4,Method,mixin,FIExprList,getStatementExpressionList(),,FALSE,FALSE,,TRUE,FALSE,
mixin.FIExprList.printorder(),4,Method,mixin,FIExprList,printorder(),,FALSE,FALSE,,TRUE,FALSE,
